Pt1,812853.382,817632.123,6.040
Pt2,812848.822,817629.367,6.015
Pt3,812844.458,817626.888,5.985
Pt4,812838.259,817623.165,6.082
Pt5,812823.637,817616.005,5.916
Pt6,812821.539,817619.759,5.624
Pt7,812832.669,817625.051,5.724
Pt8,812842.637,817630.290,5.805
Pt9,812847.255,817632.902,5.846
Pt10,812851.359,817635.492,5.877
Pt11,812849.832,817639.627,5.755
Pt12,812844.843,817636.711,5.672
Pt13,812840.124,817634.052,5.626
Pt14,812830.839,817628.688,5.581
Pt15,812821.082,817624.072,5.615
Pt16,812819.512,817628.503,5.461
Pt17,812828.735,817632.610,5.543
Pt18,812838.424,817637.456,5.630
Pt19,812843.502,817640.283,5.694
Pt20,812848.358,817643.020,5.712
Pt21,812851.535,817633.476,5.982
Pt22,812851.082,817634.208,5.929
Pt23,812850.443,817633.831,5.917
Pt24,812850.894,817633.058,5.945
Pt25,812850.337,817633.236,5.927
Pt26,812849.692,817632.807,5.922
Pt27,812846.453,817638.133,5.708
Pt28,812845.974,817638.901,5.679
Pt29,812845.338,817638.509,5.688
Pt30,812845.795,817637.778,5.721
Pt31,812845.568,817637.912,5.719
Pt32,812844.948,817638.587,5.698
Pt33,812844.396,817638.263,5.687
Pt34,812844.767,817637.412,5.719
Pt35,812835.709,817634.457,5.587
Pt36,812835.336,817635.221,5.574
Pt37,812834.601,817634.914,5.556
Pt38,812835.031,817634.125,5.575
Pt39,812843.347,817640.924,5.690
